"","OBS","ARIMA","ETS","NNAR","FTS_GA"
"124",207597,269442.607375686,275178.608837249,131124.511089924,154863.543601725
"125",204716,231190.730389463,248856.328558652,137559.86603997,185688.515427414
"126",205953,225894.230528091,231646.706050433,133685.414786018,189412.955720339
"127",256480,223650.66758364,221609.002087009,176064.187977653,303131.316462403
"128",219623,254279.271887415,235130.356873634,192610.138253405,194431.38265161
"129",213047,230391.943506429,229056.38984046,142127.845522727,192677.471424337
"130",187608,224519.411214868,222785.565004129,135579.004330521,164570.763072787
"131",223145,206157.582622808,209056.099296183,130824.101893278,264257.636028716
"132",216991,226818.96316893,214489.363947736,154477.368207595,196737.968745308
"133",176757,222247.344720577,215416.216887473,174976.74549415,149704.363111605
"134",208097,195066.234002327,200330.417305719,138085.249332959,241698.890721128
"135",173874,213006.024335415,203301.888942816,134687.146139728,150172.18923103
"136",141798,189822.599751744,191804.285132236,100972.072889789,119003.085476493
"137",152778,166456.197124345,172298.077013863,125940.28116389,147184.818418437
"138",144333,170108.953445355,164646.98893039,128858.161059292,123546.528985381
"139",200352,162062.132791646,156685.091419952,142514.820537292,243488.103404568
"140",171298,196292.926173981,173611.800383818,162234.437222929,148756.423151785
"141",178895,177798.168402746,172654.893543344,119844.84848822,168655.957583974
"142",186250,181849.354917477,175025.501663843,145323.624066633,175712.964706484
"143",191779,186253.260346875,179335.823405518,137149.111736101,179143.526745078
"144",181197,189883.818065752,184121.372851924,166217.94221159,160106.70637233
"145",172105,183207.829334234,182929.692996206,174058.115002105,151208.697845431
"146",177570,176946.738460169,178664.240716452,144318.393226579,164865.781553611
"147",219084,179837.09351271,178183.166520809,146079.030154263,230587.044804561
"148",201143,206773.210301522,194039.424629379,147822.388082344,179732.266152473
"149",179376,196767.317072502,196751.546646087,162303.022198131,158093.080101961
"150",201763,183103.794020758,189941.209053833,161019.271755101,217180.876603883
"151",236568,197267.973765656,194487.842283819,187403.189778442,276446.824370732
"152",191554,220773.873632975,210807.1407473,204111.230980444,164809.983154862
"153",253398,193491.116815509,203270.011004942,182281.013836632,306410.682639067
"154",214838,233826.051121927,222722.458771531,186427.531849448,188441.576850027
"155",225831,211326.916488851,219611.201418277,171957.171706101,220257.362531135
"156",266489,219052.920544849,221986.167770595,188741.627387702,315172.375471928
"157",239763,246732.06233785,239255.094037968,180172.767447786,215826.661759831
"158",253906,232031.295154848,239413.02177109,192579.26741648,253424.179667656
"159",254073,242434.99862861,245011.645599701,178826.046016422,236774.746697521
"160",219697,244199.889476417,248498.641440878,165710.993897778,195920.426410881
"161",219217,223048.986816645,237256.613781019,170369.407184211,201499.610417054
"162",213498,222250.081404315,230198.482675841,156577.961338524,193374.32903724
"163",267539,218056.614568184,223659.512896203,167859.681560478,291959.56220198
"164",266549,252888.858591937,240686.440091246,188716.918653148,248521.542286697
"165",212329,254352.656242272,250708.588027744,202828.222595264,176301.726039397
"166",256311,220504.951217206,235741.049487854,156270.991209824,308836.849938715
"167",245935,248209.23971291,243702.949526647,171375.994607099,225020.332557861
"168",291099,242564.119674231,244532.870522669,183095.72215725,344782.903159502
"169",223081,272710.816073025,262610.404954035,183004.012318293,162488.817772569
"170",263186,230695.087203893,247198.649327236,166189.983224762,311146.385684691
"171",244771,255934.330571912,253380.753747989,172596.662999039,223063.501088094
"172",177503,244887.14000143,249995.387973407,154256.475776802,104980.884837869
"173",199145,200693.857124328,221756.75092548,127852.664728872,213029.232905434
"174",257939,211560.338077767,212916.045238942,138923.211416061,313084.220871127
"175",240763,248380.299681104,230385.165771508,191080.929441259,219480.018503334
"176",267561,238479.685396048,234380.716529492,175329.46527359,292119.054631474
"177",275747,256408.053678485,247248.195126598,161945.929189929,266252.628092461
"178",233150,263393.32196587,258297.745229861,179927.753108545,203079.643121065
"179",266992,237201.425151228,248479.90263778,154718.442855609,305195.685508907
"180",269758,258841.682126108,255644.635717688,181298.040692734,254447.142331611
"181",247455,261834.238352335,261099.970623529,185334.65197216,226114.895580612
"182",288519,248330.684160648,255757.827060316,164374.416217993,329698.201299894
"183",227455,275172.049650121,268467.80933101,150710.0523716,181618.509012446
"184",170504,236995.751868954,252480.603233436,136008.364441408,118313.828906162
"185",191731,198217.960307476,220553.055477126,132790.206778251,204765.463658291
"186",204203,208159.235689749,209296.147778208,130082.307249007,200933.630894071
"187",189958,213979.373825051,207267.670198291,179737.969275442,168665.066207314
"188",1847,203213.647231183,200486.061070169,159485.733928633,-100005.908519613
"189",43080,77763.8639115775,123159.724817196,95794.6310585799,69227.1746591925
"190",98708,93888.0849038602,91936.9398164543,84453.8808408999,150714.30011189
