"","OBS","ARIMA","ETS","FTS_SA"
"326",67809,61718.2536914457,64162.1714436526,53771.6914855497
"327",64201,67452.8942712445,65785.4451416816,72486.4143532148
"328",50995,65134.8178900809,65373.9489087604,59439.316977953
"329",72732,56327.371886764,59984.8185679044,41597.3410294041
"330",63657,69833.1469646383,65147.1921200023,78727.6139737355
"331",63500,64291.6671976557,64772.0417366144,53274.1279323463
"332",75684,64096.9816528605,64481.6098857929,61131.7196035982
"333",57266,72012.3674878444,69044.0081676386,80430.4845197088
"334",69102,60446.622271472,64667.4087173449,46779.6264316459
"335",77021,67760.6594587126,66596.8568617978,82067.8306924094
"336",54408,73154.8083759006,70856.8778061494,85554.2024657346
"337",72183,58862.1791588201,64663.4671135194,44981.9559859165
"338",65399,69892.7324719691,67792.8982747984,84101.0555784913
"339",77484,65767.9915131944,67066.4361323395,56863.9756323719
"340",32832,73651.2596823098,71323.8076170927,90091.8134210206
"341",42645,44880.2586512857,56554.8939243007,6659.55004059686
"342",62979,49586.1796183009,51345.2902813236,53603.8185637721
"343",90383,61938.4263447528,56071.583382296,76283.3924525572
"344",85270,80085.4471375227,69621.4011059658,112440.166775951
"345",88741,78213.5103897995,75914.2104576308,89930.4323712615
"346",103283,81511.2223060432,81110.8096018839,89041.3380383004
"347",91201,92104.5327353705,89944.3545405875,110663.317129929
"348",67036,85782.9972408754,90643.2934500844,85831.8320975643
"349",75182,70695.0519535526,81669.4818396598,48577.1526476347
"350",79998,75516.7413769051,79353.4697513703,71601.9992591555
"351",89432,78631.2233946435,79811.3922189548,85386.023264077
"352",93327,85023.9798129617,83761.3635322239,97121.958921591
"353",94469,88217.9796463407,87690.9112945841,98512.6450917002
"354",85135,89705.1691370319,90536.9694151598,96915.9094961644
"355",80175,84262.7063615505,88645.268910884,80482.5294413578
"356",75517,81131.222618162,85559.3604918512,75500.8449910188
"357",90599,77934.2222778433,81861.0105831654,71569.793947278
"358",84806,87490.141712025,85467.8197890351,93913.4791800033
"359",60076,84134.3336985783,85418.6730857422,80003.7567934174
"360",56567,67990.4625728331,75767.8102379415,43853.0513369891
"361",66387,64543.9931977537,68503.7963439328,52405.5815647656
"362",59853,69841.9779473597,67884.0961542426,68290.7998735901
"363",59867,65052.4029569789,64963.3304245349,55035.3038046343
"364",74637,64311.3448218006,63183.4803411358,59487.1076189448
"365",75475,73369.8609290618,67841.5474257773,80125.9493868374
"366",76050,74103.0387300398,71014.6302564483,74794.8671805119
"367",70739,74678.623471419,73177.738210195,75594.6408213162
"368",67544,71388.6451196158,72433.6800428838,68143.7744336621
"369",64709,69196.6701638817,70735.8823785105,64507.050350508
"370",66510,67096.3835725136,68595.1872639605,62370.612647954
"371",72339,67934.6543358747,67987.3363071901,64890.547317919
"372",69424,71557.1280634456,69883.4199813067,76336.1492882988
"373",66311,69755.5978591211,69908.2717141796,67771.8718911715
"374",75854,67663.3671889474,68712.3517214872,63988.2731264811
"375",86147,73735.3453787964,71693.8591080871,78034.381613967
"376",74140,80800.7207741537,77520.4877005272,95818.3120974751
"377",77983,73686.8790596168,76410.7034627505,71011.3125891282
"378",87125,76276.0536816664,77227.3743854883,82202.5058144931
"379",78934,82526.1317080077,81283.0247408502,92713.5886540281
"380",95798,77810.5012933735,80575.3218946742,75907.5363599701
"381",79488,89047.6146224981,86703.3447142597,108207.605652552
"382",82797,79310.4953116253,84103.7734252333,67141.6801501418
"383",83582,81509.2089223374,83802.1058756971,85747.0079952169
"384",78723,82210.5603389133,83923.0564609516,84638.024995224
"385",82931,79217.4304411224,82106.6232362939,76262.1480095554
"386",73601,81909.5816679767,82633.3693205729,85242.4948938144
"387",71318,75929.7311885522,79325.6049087042,65666.0168590628
"388",64308,74094.4035618773,76415.6037445988,68420.5458313434
"389",65690,69090.1433145246,71909.7696981468,56315.1008954865
"390",95326,69307.6927378419,69693.2827040398,64113.2475840871
"391",87532,88248.35346073,79867.8210863462,106919.627880203
"392",99846,84151.1199751684,83054.5803333374,83932.9469061232
"393",83589,92725.8688936185,89792.8977762221,111698.58978593
"394",77925,83076.9087406195,87586.9723577258,71455.7372503366
"395",67035,79431.1154425083,84035.1237197457,70165.7886896732
"396",86432,72062.0625540554,77627.5307265887,55821.8786977276
"397",81479,84075.1578435943,81257.0587483154,90509.7495005012
"398",68409,81162.4853613859,81548.5863154773,73925.6513427314
"399",61505,72624.7716472409,76642.0698222302,58547.231514993
"400",29035,67482.4293237392,70957.1536906442,53698.89043639
"401",78868,45296.0758784111,54850.4601490991,5767.75447389613
"402",44278,75676.2078009858,64392.2472422528,92393.8583982603
"403",51830,53420.6796464659,56767.7439713519,10441.6145916464
"404",97450,57061.0101630306,55045.3797506852,55972.7788395923
"405",78913,86265.9556949863,71740.2322000455,117677.151169196
"406",87506,75706.0701496827,74732.995352575,71531.4038841111
"407",89086,81812.0479832873,79905.1489983009,91692.5368608596
"408",75070,83671.2858913245,83681.116036544,92286.6162102165
"409",66239,75247.9601026228,80536.3507036218,67642.5613439573
"410",50568,69422.7496736108,75178.5951092136,56981.165291302
"411",60514,58671.8226640647,65807.2242281261,35015.3405018763
"412",40666,64034.2536987344,63948.4741503933,59173.8097369116
"413",66477,50491.6335170369,55090.7948631988,22601.1340101944
"414",78605,66024.5440279474,59718.0245308932,81872.4027062166
"415",91767,74054.5828021221,67264.4350157839,91378.9252435804
"416",86694,83354.993214768,76997.380106816,105143.70046135
"417",80575,81237.248959823,80972.7840959867,88579.1999056007
"418",90425,78006.1400355954,81022.1082099995,75152.0488737983
"419",81798,84845.5493677194,84884.1723596131,91312.1925372038
"420",66841,79985.0811594666,83888.527029805,73450.3252769374
"421",63613,70424.0537731792,77461.1546880896,55183.2807779109
"422",74082,67787.1282205393,72276.7368712459,57227.3772898475
"423",53796,74060.0646223222,73180.6198971063,76457.0970552238
"424",59859,60740.9224223933,65841.1338006897,41269.8473116249
"425",73710,63720.5178347249,63713.7096758736,66084.2219210934
"426",82638,72259.6039063468,67801.8109638,82556.6205491247
"427",87933,78332.1238181325,73773.7889797065,90505.0414590205
"428",83652,82430.7985934959,79483.8842871514,93904.8245945019
"429",82328,80413.3070719572,81308.5363991893,82894.4906291986
"430",90902,80011.1341660596,81908.6778456988,80267.10473829
"431",87548,85976.2016949664,85611.0100429785,93751.5687555897
"432",64977,84484.3209428105,86569.1001947718,85254.6056641863
"433",66168,70103.4749089257,78373.8071892505,51095.3895550029
"434",73042,70145.9043871431,73827.9264340082,64146.2138923488
"435",98691,74086.2315283868,73723.52795338,76986.5548869468
"436",88839,90779.8725893707,83637.9555978173,112085.13714856
"437",101055,85451.368505148,85865.1005261137,85873.0325573404
"438",102512,93962.7326598408,91978.7531645317,113088.457021291
"439",104493,95942.9645891917,96282.3363589891,103634.091050177
"440",115800,98191.8198096338,99683.4129244227,105943.912095341
"441",106990,106526.634643086,106160.970407702,121189.15683325
"442",109989,102079.002472427,106692.785392545,103009.679201447
"443",111043,104757.154954368,108184.498025668,112379.287825262
"444",94678,106204.275807767,109506.255915251,112325.555914075
"445",93357,96155.1918877066,103947.578955077,85677.6196899958
"446",95060,95074.5065419314,100036.012517489,91468.0175058761
"447",122600,95945.0788085896,98307.6349000963,94099.8793810455
"448",94820,113903.550433399,107965.104933666,133767.040825104
"449",119441,96914.6133881703,103060.617875836,80354.2142614491
"450",109101,112781.576213951,109641.185439805,144614.695277186
"451",114188,106951.97507415,109640.743161957,95089.7775266969
"452",127038,110602.826525839,111619.426408418,116943.916779039
"453",103372,119559.058319547,117827.858113507,134670.348152401
"454",108978,105096.203349916,112415.711794679,92333.6288237343
"455",124173,108529.003898114,111288.535058397,115145.298603168
"456",109563,118572.716588498,116510.86905955,133345.615191416
"457",78192,109786.073497767,114019.072331768,103602.540462544
"458",110168,89151.7896331052,100291.636960487,54732.605933213
"459",131859,108569.750894967,104340.732989692,113746.257676368
"460",117064,123045.376512736,115254.0877392,155222.598941478
"461",136548,114600.911083264,116168.813083927,117034.703529616
"462",153241,127751.939159625,124307.767680159,157425.845861916
"463",106135,139983.871530465,135776.560457298,170428.088051881
"464",140683,110961.169389005,124460.758232411,88428.2833810033
"465",119247,132953.281279162,130984.493854798,163042.88057691
"466",134566,119991.107390854,126632.610506512,92497.9800547574
"467",129650,129944.093999877,129932.163060754,149537.612560636
"468",102323,127382.559628355,130036.393374475,123871.921850707
"469",100946,109763.439298979,119468.959919431,85171.0732381494
"470",121248,107785.505537586,112474.130883089,98126.4921584428
"471",136019,120131.408237221,116096.798647659,128012.418742439
"472",130698,129993.0011453,124057.405514453,150295.813999953
"473",142309,127368.09824081,126853.030096989,133498.518331105
"474",121143,135473.814085335,133078.784816904,155357.384405107
"475",153931,122559.878362045,128649.806874564,107148.828273448
"476",161906,143888.102187314,138698.243137279,172815.100139769
"477",146060,150574.626271578,147942.573788094,168730.785320876
"478",148219,141803.244607847,147428.275337706,140385.114725199
"479",141674,143835.344325245,147953.788164164,152089.319305744
"480",118982,140169.627677386,145728.72195648,135712.460041098
"481",124889,125484.316521562,135540.728743489,103509.119459662
"482",136323,128425.329151773,131611.533614588,123159.811231785
"483",153164,135424.036178422,133658.052963526,143756.841461168
"484",172391,146613.645398341,141460.57479971,166458.593440045
"485",162310,160185.670832077,153709.538648321,189955.219783604
"486",170685,155326.41239985,157274.517607513,163078.147469253
"487",160400,161834.180398827,162711.610330643,179825.066765138
"488",173863,156356.908414671,162033.641684461,150250.876199804
"489",182952,165781.787834439,166856.735912497,184382.002299135
"490",192829,172916.839592163,173340.588363406,192946.530163466
"491",130140,180851.336654042,181146.094462275,202524.325999738
"492",101255,141410.279593392,161528.907176902,102772.977706405
"493",110243,120814.54611783,138301.140435963,71779.649848833
"494",105964,123894.821992373,127600.321188314,98194.0535730105
"495",141749,119114.797813618,119394.991437494,102083.883230224
"496",137785,140718.068212742,128301.158694189,159942.160950952
"497",160231,138263.57261213,132202.650160817,134736.322679885
"498",146151,152935.348253707,143319.503454924,183561.000153788
"499",126825,144741.403612398,144636.768957902,136228.911886296
"500",134224,132252.950383173,137923.419853359,109355.114773119
"501",134540,136328.822115288,136698.449669433,129320.841289973
"502",92855,136232.629868336,136072.59676819,135762.379791916
"503",79643,108612.841584277,119473.192194373,71105.6969019761
"504",59650,97662.4101220814,104187.275738574,67472.0477321901
"505",81902,81932.3968152017,87066.1685388377,40815.842430128
