time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/72;55841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/72;50039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/72;56416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/72;51743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/72;49327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/72;57691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/72;44886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/72;57031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/72;52904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/72;50946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/73;43016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/73;56682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/73;56995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/73;55773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/73;65561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/73;57668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/73;61121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/73;67009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/73;59229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/73;74622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/73;72404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/73;59702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/74;58498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/74;67432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/74;79064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/74;72767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/74;75630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/74;59524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/74;79545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/74;76726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/74;72909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/74;83622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/74;62674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/74;70846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/75;69047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/75;67179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/75;77012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/75;78001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/75;75558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/75;77368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/75;77157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/75;71298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/75;76169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/75;82450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/75;67639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/75;64069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/76;68928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/76;75048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/76;78561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/76;73803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/76;77928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/76;78415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/76;78290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/76;79029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/76;78514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/76;80275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/76;83454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/76;72427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/77;62075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/77;76719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/77;77973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/77;62673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/77;78926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/77;74097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/77;71890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/77;78558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/77;66075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/77;72226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/77;82977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/77;78777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/78;70431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/78;75588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/78;87958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/78;78041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/78;84198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/78;93207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/78;86665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/78;94805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/78;71924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/78;92218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/78;90729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/78;85952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/79;92807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/79;78361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/79;64221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/79;87805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/79;99594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/79;94767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/79;77009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/79;100813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/79;73504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/79;103497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/79;105508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/79;93214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/80;95891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/80;85853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/80;92818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/80;34745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/80;86809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/80;94046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/80;90173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/80;94354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/80;109122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/80;113524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/80;103721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/80;90149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/81;73912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/81;74442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/81;60891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/81;48078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/81;62001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/81;58377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/81;48433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/81;49965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/81;51835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/81;59955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/81;56165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/81;49362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/82;54233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/82;53462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/82;68313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/82;64208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/82;60320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/82;66774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/82;64169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/82;70048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/82;66974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/82;78031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/82;78247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/82;71680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/83;68584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/83;61757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/83;79950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/83;69893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/83;84430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/83;72492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/83;53832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/83;72434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/83;69215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/83;63619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/83;66435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/83;67428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/84;58333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/84;67809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/84;64201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/84;50995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/84;72732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/84;63657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/84;63500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/84;75684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/84;57266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/84;69102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/84;77021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/84;54408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/85;72183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/85;65399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/85;77484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/85;32832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/85;42645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/85;62979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/85;90383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/85;85270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/85;88741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/85;103283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
