time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2015;7,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/09/2015;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/09/2015;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/09/2015;6,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/09/2015;6,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2015;6,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/09/2015;6,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/09/2015;6,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/09/2015;6,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2015;7,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2015;7,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/10/2015;7,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/10/2015;7,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/10/2015;8,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/10/2015;8,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/10/2015;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/10/2015;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/10/2015;8,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2015;7,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/2015;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/10/2015;7,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/10/2015;7,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/10/2015;8,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/10/2015;7,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2015;8,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/10/2015;7,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/10/2015;7,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/10/2015;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
