;MGLU3.SA.Close
02/06/2016;0,541093
03/06/2016;0,546718
06/06/2016;0,582812
07/06/2016;0,594531
08/06/2016;0,594531
09/06/2016;0,588906
10/06/2016;0,574843
13/06/2016;0,548281
14/06/2016;0,544218
15/06/2016;0,543593
16/06/2016;0,529687
17/06/2016;0,557812
20/06/2016;0,575
21/06/2016;0,58875
22/06/2016;0,586718
23/06/2016;0,592968
24/06/2016;0,578125
27/06/2016;0,577968
28/06/2016;0,59375
29/06/2016;0,597656
30/06/2016;0,601562
01/07/2016;0,609375
04/07/2016;0,613281
05/07/2016;0,611718
06/07/2016;0,609375
07/07/2016;0,61875
08/07/2016;0,653125
11/07/2016;0,650625
12/07/2016;0,653125
13/07/2016;0,65625
14/07/2016;0,666406
15/07/2016;0,665
18/07/2016;0,664531
19/07/2016;0,671875
20/07/2016;0,674218
21/07/2016;0,671875
22/07/2016;0,672343
25/07/2016;0,705937
26/07/2016;0,707968
27/07/2016;0,70375
28/07/2016;0,688437
29/07/2016;0,71875
01/08/2016;0,71875
02/08/2016;0,685156
03/08/2016;0,69375
04/08/2016;0,78125
05/08/2016;0,828125
08/08/2016;0,828906
09/08/2016;0,882812
10/08/2016;0,909375
11/08/2016;0,921875
12/08/2016;0,937031
15/08/2016;0,928906
16/08/2016;0,970937
17/08/2016;0,9875
18/08/2016;0,965625
19/08/2016;0,957812
22/08/2016;0,965625
23/08/2016;0,982812
24/08/2016;0,982812
25/08/2016;0,965
26/08/2016;0,97
29/08/2016;0,982812
30/08/2016;0,953906
31/08/2016;0,945312
01/09/2016;0,988437
02/09/2016;1,02734
05/09/2016;1,03094
06/09/2016;1,03281
08/09/2016;1,02969
09/09/2016;1,02953
12/09/2016;1,02656
13/09/2016;0,96875
14/09/2016;0,962031
15/09/2016;0,969687
16/09/2016;0,976562
19/09/2016;1,00312
20/09/2016;1,02188
21/09/2016;1,08922
22/09/2016;1,10047
23/09/2016;1,08766
26/09/2016;1,11141
27/09/2016;1,16094
28/09/2016;1,17188
29/09/2016;1,17406
30/09/2016;1,19531
03/10/2016;1,21578
04/10/2016;1,23438
05/10/2016;1,26484
06/10/2016;1,29297
07/10/2016;1,32812
10/10/2016;1,41406
11/10/2016;1,41203
13/10/2016;1,38281
14/10/2016;1,42156
17/10/2016;1,40625
18/10/2016;1,42188
19/10/2016;1,43734
20/10/2016;1,4375
21/10/2016;1,45344
24/10/2016;1,53469
25/10/2016;1,29688
26/10/2016;1,08594
27/10/2016;1,42172
28/10/2016;1,35922
31/10/2016;1,44469
01/11/2016;1,43906
03/11/2016;1,4375
04/11/2016;1,45016
07/11/2016;1,46875
08/11/2016;1,48297
09/11/2016;1,53109
10/11/2016;1,48172
11/11/2016;1,48016
14/11/2016;1,43906
16/11/2016;1,43141
17/11/2016;1,43375
18/11/2016;1,45781
21/11/2016;1,49922
22/11/2016;1,50812
23/11/2016;1,53734
24/11/2016;1,52188
25/11/2016;1,52188
28/11/2016;1,53453
29/11/2016;1,58047
30/11/2016;1,625
01/12/2016;1,57031
02/12/2016;1,54688
05/12/2016;1,52813
06/12/2016;1,59297
07/12/2016;1,59922
08/12/2016;1,64672
09/12/2016;1,65937
