time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/08/2015;50058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/08/2015;50287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2015;50011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/08/2015;48577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/08/2015;49353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/08/2015;49072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/08/2015;48388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2015;48010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/08/2015;47508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/08/2015;47217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/08/2015;47451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/08/2015;46588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2015;46649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/08/2015;45720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/08/2015;44336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/08/2015;44545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/08/2015;46038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2015;47715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/08/2015;47154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2015;46626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/09/2015;45477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/09/2015;46464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/2015;47366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/09/2015;46498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/09/2015;46762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/09/2015;46657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2015;46504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/09/2015;46401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/09/2015;47282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/09/2015;47364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/09/2015;48553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2015;48551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/09/2015;47264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/09/2015;46590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/09/2015;46265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/09/2015;45340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2015;45292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/09/2015;44831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/09/2015;43957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/09/2015;44132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2015;45059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2015;45313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/10/2015;47033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/10/2015;47598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/10/2015;47735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/10/2015;48914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/10/2015;49107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/10/2015;49338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/10/2015;47363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2015;46710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/2015;47161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/10/2015;47236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/10/2015;47447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/10/2015;47077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/10/2015;47026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2015;47772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/10/2015;47597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/10/2015;47209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/10/2015;47043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/10/2015;46741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2015;45628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/10/2015;45869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/11/2015;48054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/11/2015;47710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2015;48047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/11/2015;46919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/11/2015;46195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/11/2015;46179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/11/2015;47065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2015;46884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2015;46517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/11/2015;46847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/11/2015;47248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/11/2015;47436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/11/2015;48139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/11/2015;48150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/11/2015;48284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2015;46867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2015;47146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/11/2015;45873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2015;45120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/12/2015;45047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/12/2015;44915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2015;46393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/12/2015;45361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2015;45223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/12/2015;44443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/2015;46108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2015;45631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2015;45263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/12/2015;44747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/12/2015;44872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/12/2015;45016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/12/2015;45261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/12/2015;43911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/12/2015;43200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/12/2015;43470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/12/2015;44015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/12/2015;43764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/12/2015;43654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/12/2015;43350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2016;42141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2016;42419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2016;41773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2016;40695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2016;40612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2016;39950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2016;39514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2016;38944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2016;39500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2016;38569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/01/2016;37937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/01/2016;38057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2016;37645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2016;37717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/01/2016;38031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
